Cota;Vazao
58;25.3
25;5.6
42;11.8
80;40.7
104;62
45;9.83
36;5.55
46;8.99
60;15.6
85;38
98;47.9
31;6.88
35;6.87
74;29.4
82;26.8
82;29.8
60;18.9
142;110
34;5.73
83;43.4
79;32.5
47;11.5
33;5.71
43;7.77
54;11.6
95;48.2
249;276
48;16.4
23;4.56
36;8.92
50;13.9
60;18.3
199;167
50;10.2
30;5.48
32;4.5
48;7.22
59;10.8
78;20.2
104;38.5
60;16
56;14.3
34;7.63
36;7.75
18;3.02
18;3.53
28;3.67
35;6.62
37;7.06
35;5.89
35;5.58
86;40.6
89;40.2
39;7.22
101;56.5
50;12.2
52;13.7
50;14.7
27;3.85
28;3.94
34;5.78
34;5.78
38;6.27
48;8.69
46;8.03
64;15.2
56;12.2
81;37.7
67;27.7
46;9.91
65;19.9
29;7.46
57;11.9
57;12.2
88;43.6
85;33.8
62;13.4
62;12.9
111;51.1
111;63.4
36;4.43
42;4.63
42;4.54
57;7.66
57;8.01
72;14.7
72;14.7
136;86
145;92.9
82;28.5
83;26.8
83;30
83;32.3
72;18.2
72;18.4
69;17.1
68;17.1
97;47.2
95;44.7
67;23.1
40;4.58
40;4.4
44;6.26
44;5.63
44;5.55
46;5.71
46;5.88
54;10.5
54;10.4
56;12.1
56;12.1
61;11.1
62;11.7
59;8.48
59;8.75
96;34.6
96;34.2
218;197
194;187
95;37.5
92;36.4
52;11.7
52;11.5
24;3.19
24;3.22
24;2.6
24;2.84
29;4.18
95;41.8
96;42.7
74;25.5
74;27.1
114;63
108;57.1
68;16.6
68;15.7
206;172
203;162
94;46.2
101;51.6
24;3.58
24;3.32
38;6.67
38;7.35
46;10.8
46;11.6
191;139
181;136
46;6.8
46;6.82
57;8.9
57;8.34
101;41
99;38.4
77;23.9
78;23.9
54;11.8
55;11.8
31;3.33
31;3.7
45;7.24
46;8.69
100;48.3
50;6.36
50;6.43
50;6.19
50;6.11
50;6.27
50;6.62
50;6.59
50;6.44
60;13.6
62;14.2
62;15.9
64;16.8
64;16.5
68;26.3
70;22.6
87;30.3
82;27.2
79;26.5
82;27.5
100;53
92;33.4
92;31.4
146;119
149;107
137;84.4
90;40.2
84;32.4
83;32.8
82;29.5
91;36.2
77;26.7
105;44.1
110;43.6
97;40
92;20.2
74;22.1
64;17.3
61;17.3
54;14.8
55;14.6
57;15.9
58;15.1
59;17.1
60;13.4
62;19.8
62;18.9
64;16.2
65;20.6
64;19
68;25.7
68;24.1
78;27.5
78;26.8
80;30.2
82;29.6
38;4.55
38;4.87
44;7.08
55;9.75
55;9.49
55;8.61
55;9.74
55;9.76
55;8.45
56;9.42
56;9.41
50;9.37
49;9.22
54;10.1
54;9.77
54;10.8
42;3.75
42;4.3
278;266
266;279
149;125
185;148
179;132
184;161
165;117
203;203
218;225
174;132
169;143
55;10
54;10.9
55;10.1
54;9.89
45;6.99
45;6.91
61;11
60;16.5
60;15.2
60;15.7
