Cota;Vazao
35;214.642
38;264
40;240
40;263
41;250
42;273
42;273
44;387
48;350
48;386
48;306
48;356
50;302
50;341
51;383
58;386
58;274
60;318
60;318
61;363
62;383
63;390
63;356
66;442
66;465
66;414
66;424
66;462
66;440
66;402
66;388
67;467
67;519
71;449
71;450
71;398
71;394
71;338
71;402
71;384
72;297.608
72;401
73;496
73;492
74;403
74;501
75;469
76;502
77;464
78;419
78;440
78;401
78;402
78;451
78;426
80;503
80;397
80;379
82;303.567
82;514
82;520
83;530
83;563
84;407
85;434
86;556
86;584
86;562
86;462
86;461
86;533
86;377
87;503
87;492
87;488
88;441
88;403
88;384
88;500
90;525
90;499
90;502
90;530
90;478
90;491
90;488
91;440.755
91;416
92;224
92;569
94;600
94;611
94;457
95;530
96;534
96;555
96;426
97;477.49
97;265.076
98;615
100;460
100;398
103;313.95
104;512
105;217
106;292.331
107;298
108;622.681
108;613.253
108;323.36
109;321
109;554
110;357
110;588
111;793
112;777
112;779
112;774
112;527
112;581
112;671
114;659
114;611
116;427.08
116;431
118;779
118;524
118;678
118;654
118;684
118;695
119;418
119;798
120;386
120;543
122;321
122;803
123;827
124;453.629
124;373
124;642
125;375
126;588.138
127;339.188
127;332
127;332
128;575.798
129;464.896
130;540
130;514
131;457
132;375
132;849
132;698
136;517.24
136;813
137;410
138;378
139;534
139;963
139;902
140;496
140;703
140;836
141;827
145;492
145;886
145;838
146;889
147;826.111
147;594.471
147;453
148;480
148;942
149;955
150;1004
150;841
150;808
151;496
152;685.088
152;617
152;388
152;496
152;981
153;579.753
154;1048
154;780
155;568
156;613.961
156;601
157;1019
158;977
159;648
160;551
160;737
162;652.707
163;1106
163;956
164;1138
164;1155
168;737
168;928
169;433
176;1180
176;1017
179;528
180;1140
181;1074
182;894.772
184;813
184;674
185;1261
188;643
191;728
196;898
196;742
199;1085
199;1216
201;1167
202;1030.204
203;1409
213;1597
215;766
218;1085
218;1138
227;955
230;1327
232;1736
232;1720
233;1767
239;1803
240;1846
245;989
251;1511.808
251;1113
251;1950
252;1928
266;1409
282;1377
286;1904
292;2483
293;2307
297;2452
300;2424
301;1662.02
341;2947
351;2952
368;1959
381;3000
385;2720
424;3820
488;4781
493;4698
500;4619
