Cota;Vazao
0.35;214.64
1.08;622.68
2.51;1511.81
1.47;826.11
0.91;440.76
1.08;613.25
2.02;1030.20
1.28;575.80
1.82;894.77
0.72;297.61
1.52;685.09
0.82;303.57
1.26;588.14
0.97;477.49
1.47;594.47
1.53;579.75
1.56;613.96
1.27;339.19
1.29;464.90
1.08;323.36
3.01;1662.02
1.03;313.95
1.16;427.08
1.36;517.24
1.62;652.71
1.06;292.33
0.97;265.08
1.24;453.63
1.16;431.00
1.84;813.00
2.66;1409.00
0.92;224.00
1.07;298.00
1.96;898.00
1.45;492.00
1.31;457.00
2.18;1085.00
1.24;373.00
1.39;534.00
1.59;648.00
2.86;1904.00
3.85;2720.00
3.81;3000.00
1.09;321.00
1.52;617.00
1.69;433.00
1.05;217.00
1.52;388.00
1.1;357.00
1.4;496.00
1.55;568.00
1.56;601.00
2.15;766.00
1.47;453.00
1.48;480.00
1.79;528.00
1.52;496.00
1.51;496.00
1.2;386.00
1.22;321.00
1.25;375.00
2.51;1113.00
1.84;674.00
1.91;728.00
1.27;332.00
1.27;332.00
1.37;410.00
1.96;742.00
2.82;1377.00
2.27;955.00
1.38;378.00
1.19;418.00
2.45;989.00
1.6;551.00
1.32;375.00
1.88;643.00
3.68;1959.00
0.51;383.00
0.76;502.00
0.9;525.00
1.64;1138.00
2.33;1767.00
1.32;849.00
0.42;273.00
0.61;363.00
0.62;383.00
0.77;464.00
0.75;469.00
0.83;530.00
0.83;563.00
1.12;777.00
1.12;779.00
1.19;798.00
1.18;779.00
2.13;1597.00
2.4;1846.00
2.39;1803.00
2.51;1950.00
2.52;1928.00
1.11;793.00
1.12;774.00
1.63;1106.00
1.64;1155.00
1.23;827.00
1.22;803.00
1.5;1004.00
1.54;1048.00
2.32;1736.00
2.32;1720.00
2.92;2483.00
2.93;2307.00
1.49;955.00
1.52;981.00
0.86;556.00
0.87;503.00
0.4;240.00
0.4;263.00
0.41;250.00
0.38;264.00
0.86;584.00
0.86;562.00
0.78;419.00
0.78;440.00
0.94;600.00
0.94;611.00
0.73;496.00
0.73;492.00
0.87;492.00
0.87;488.00
0.86;462.00
0.86;461.00
1.76;1180.00
1.85;1261.00
0.66;442.00
0.66;465.00
0.71;449.00
0.71;450.00
0.82;514.00
0.82;520.00
0.9;499.00
0.9;502.00
0.96;534.00
0.96;555.00
1.46;889.00
1.45;886.00
0.88;441.00
0.86;533.00
1.14;659.00
1.45;838.00
0.94;457.00
1.41;827.00
1.63;956.00
1.81;1074.00
0.48;350.00
0.67;467.00
0.8;503.00
1.48;942.00
0.42;273.00
0.6;318.00
0.6;318.00
0.63;390.00
0.63;356.00
0.66;414.00
0.66;424.00
0.71;398.00
0.71;394.00
0.9;530.00
0.9;478.00
0.66;462.00
0.66;440.00
2.01;1167.00
0.58;386.00
0.5;302.00
0.58;274.00
0.71;338.00
1;460.00
0.85;434.00
0.9;491.00
1.4;703.00
1;398.00
1.14;611.00
1.09;554.00
0.95;530.00
1.18;524.00
1.5;841.00
1.5;808.00
0.66;402.00
0.88;403.00
0.78;401.00
0.71;402.00
0.44;387.00
0.48;386.00
0.66;388.00
0.78;402.00
0.8;397.00
0.74;403.00
0.74;501.00
0.9;488.00
1.2;543.00
0.96;426.00
1.1;588.00
0.91;416.00
1.12;527.00
1.32;698.00
1.99;1085.00
1.68;737.00
1.6;737.00
0.78;451.00
0.92;569.00
1.18;678.00
1.8;1140.00
0.86;377.00
0.84;407.00
1.04;512.00
1.18;654.00
1.54;780.00
2.3;1327.00
1.4;836.00
1.36;813.00
1.18;684.00
1.24;642.00
1.39;963.00
1.58;977.00
1.76;1017.00
2.18;1138.00
0.8;379.00
0.88;384.00
1.12;581.00
1.3;540.00
1.3;514.00
1.68;928.00
0.78;426.00
0.72;401.00
0.71;384.00
0.88;500.00
0.98;615.00
1.18;695.00
1.12;671.00
1.57;1019.00
2.03;1409.00
1.39;902.00
0.67;519.00
0.48;306.00
0.48;356.00
0.5;341.00
3;2424.00
2.97;2452.00
3.51;2952.00
3.41;2947.00
4.24;3820.00
4.88;4781.00
4.93;4698.00
5;4619.00
1.99;1216.00
