Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58480500


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58480500;1;01/06/2021;;1;1;19,808;10,465;14,864;1;30;1;1;1;0;0;19,808;18,021;17,752;17,752;17,752;17,486;17,486;17,486;17,221;16,959;16,959;16,959;16,959;16,959;16,31;14,433;14,312;14,312;14,312;13,95;14,071;11,65;11,43;10,889;10,996;10,889;10,889;10,782;10,676;10,465;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58480500;1;01/04/2021;;1;1;27,232;17,752;20,32;28;23;1;1;1;;0;22,559;22,559;22,559;20,517;19,668;19,112;19,668;19,668;19,389;19,528;19,668;19,668;19,389;19,389;19,389;19,389;19,25;19,389;23,462;21,967;19,668;18,836;17,752;17,752;17,752;17,752;20,947;27,232;22,858;22,858;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58480500;1;01/03/2021;;1;1;39,574;19,668;23,081;12;26;1;1;1;;0;22,559;22,559;21,82;21,091;21,091;21,82;25,315;30,569;25,63;25,63;26,747;39,574;28,879;24,073;22,262;20,517;20,803;21,091;21,091;21,091;21,091;21,091;20,517;19,808;19,808;19,668;19,668;19,668;19,668;22,262;28,05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/02/2021;;1;1;49,45;15,673;30,838;9;3;1;1;1;;0;16,959;16,959;15,673;16,31;19,668;29,718;38,697;42,249;49,45;37,764;33,186;34,08;34,08;39,574;40,458;32,303;27,232;37,764;36,827;36,827;39,574;36,827;32,303;27,232;22,559;22,559;24,073;22,559;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58480500;1;01/01/2021;;1;1;128,109;17,619;39,634;11;31;1;1;1;0;0;28,879;34,08;34,985;65,009;54,036;47,225;36,827;71,492;36,827;109,217;128,109;76,875;68,866;46,13;34,08;33,186;28,879;27,722;27,232;25,63;24,846;21,091;21,091;18,974;18,291;18,291;18,291;18,291;18,291;18,291;17,619;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/12/2020;;1;1;94,955;14,8;36,066;6;1;1;1;1;;0;14,8;28,38;25,315;29,718;33,186;94,955;82,149;77,972;30,569;30,569;29,381;30,057;34,622;29,718;27,232;22,559;22,559;21,091;29,718;28,05;23,919;26,106;40,458;45,478;35,901;54,036;40,814;39,574;30,569;29,718;28,879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58480500;1;01/11/2020;;1;1;82,149;9,339;25,01;19;1;1;1;1;;0;9,339;9,64;10,465;22,411;20,803;19,949;14,433;13,007;12,433;52,873;44,622;80,746;34,985;24,073;23,159;21,236;26,426;19,808;82,149;28,05;17,619;19,389;30,569;26,426;18,562;17,353;15,547;12,095;11,76;10,36;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58480500;1;01/10/2020;;1;1;28,05;9,14;12,185;9;1;1;1;1;;0;9,14;9,14;9,14;9,14;10,152;10,152;9,339;9,339;28,05;14,191;11,212;10,57;10,465;10,782;13,712;12,892;10,782;10,782;10,782;10,782;11,43;18,291;14,071;11,983;15,047;17,619;14,433;10,996;11,321;10,996;10,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/09/2020;;1;1;14,433;9,339;12,221;1;19;1;1;1;;0;14,433;14,433;14,433;14,433;13,95;13,95;13,24;14,191;13,95;13,712;13,831;13,475;13,475;13,24;10,996;9,946;9,741;9,741;9,339;9,539;13,475;11,983;13,712;12,32;11,65;10,782;9,946;9,741;9,64;9,339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58480500;1;01/08/2020;;1;1;18,155;14,191;14,847;22;19;1;1;1;;0;15,171;15,171;15,171;15,171;15,171;15,171;15,047;14,923;14,923;14,923;14,923;14,923;14,8;14,555;14,433;14,433;14,433;14,312;14,191;14,191;15,296;18,155;15,296;14,433;14,433;14,433;14,433;14,433;14,433;14,433;14,433;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
58480500;1;01/07/2020;;1;1;16,181;15,171;15,508;1;22;1;1;1;;0;16,181;16,181;16,181;15,926;15,926;15,926;15,673;15,926;15,799;15,673;15,421;15,421;15,421;15,296;15,296;15,421;15,673;15,421;15,421;15,421;15,296;15,171;15,171;15,171;15,171;15,171;15,171;15,171;15,171;15,171;15,296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58480500;1;01/06/2020;;1;1;18,021;15,926;16,693;17;21;1;1;1;;0;16,698;16,698;16,698;16,698;16,698;16,698;17,619;16,959;17,353;17,353;16,568;16,439;16,439;16,439;16,959;17,752;18,021;17,486;16,959;16,181;15,926;16,181;16,181;16,181;16,181;15,926;15,926;16,439;16,568;16,568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58480500;1;01/05/2020;;1;1;18,836;16,439;17,861;8;28;1;1;1;0;0;17,486;17,486;17,752;17,752;17,886;18,021;18,562;18,836;18,836;18,291;18,291;17,752;17,752;17,752;18,291;18,562;18,836;18,562;18,021;17,752;17,886;17,619;17,752;17,886;18,562;18,021;16,959;16,439;16,698;16,698;16,698;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/04/2020;;1;1;60,021;16,959;22,814;1;16;1;1;1;;0;60,021;36,827;28,712;28,05;26,586;25,63;26,426;23,919;19,668;18,974;28,879;25,63;21,091;19,668;18,291;16,959;16,959;16,959;17,619;20,66;19,808;19,112;19,25;18,836;18,836;18,426;18,562;18,291;18,021;17,752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58480500;1;01/03/2020;;1;1;140,011;22,559;39,182;4;29;1;1;1;;0;30,569;63,746;68,866;140,011;101,975;34,08;34,08;34,08;34,08;34,08;32,303;31,43;28,879;28,879;28,879;28,879;28,879;30,569;32,303;58,802;35,901;34,08;30,569;29,213;28,879;28,05;24,846;24,073;22,559;22,559;28,546;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/02/2020;;1;1;98,59;16,959;38,906;13;21;1;1;1;;0;28,05;27,232;28,879;28,879;27,232;67,57;65,009;63,746;27,232;29,718;29,718;33,186;98,59;74,971;35,901;36,827;33,186;30,569;28,05;18,974;16,959;28,879;28,879;24,846;30,569;34,08;28,879;91,085;30,569;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
58480500;1;01/01/2020;;1;1;44,07;9,946;24,059;6;27;1;1;1;;0;14,433;13,831;29,718;28,05;31,43;44,07;31,43;28,05;27,232;27,232;27,232;27,232;43,156;19,668;19,808;36,641;26,426;20,947;18,021;17,886;17,486;21,82;13,124;21,091;13,593;11,104;9,946;9,946;34,08;30,569;30,569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58480500;1;01/12/2019;;1;1;104,782;12,095;30,425;23;9;1;1;1;;0;12,433;19,668;14,555;13,358;12,892;25,158;15,673;12,662;12,095;15,047;42,249;85,273;70,174;29,718;27,232;29,718;13,24;13,831;22,559;68,866;18,974;18,974;104,782;87,577;49,45;29,718;16,959;15,673;15,421;14,8;14,433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58480500;1;01/11/2019;;1;1;29,718;7,086;12,516;20;5;1;1;1;;0;8,944;10,465;8,846;7,714;7,086;7,263;16,568;8,271;7,263;13,124;12,095;12,892;9,843;10,465;17,619;12,892;10,152;9,439;8,944;29,718;21,091;16,31;13,124;21,091;13,593;11,104;10,889;8,944;8,944;20,803;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58480500;1;01/10/2019;;1;1;10,57;5,349;6,717;31;19;1;1;1;;0;6,482;6,066;5,985;6,066;6,066;5,663;5,584;5,743;9,239;7,99;7,174;6,652;6,231;6,066;5,904;5,985;5,743;5,584;5,349;5,349;5,584;5,823;6,066;5,904;5,985;9,14;9,14;8,366;7,99;8,749;10,57;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/09/2019;;1;1;21,82;5,272;6,419;26;21;1;1;1;;0;6,066;6,066;6,066;6,066;6,149;6,066;6,066;6,066;6,066;6,066;5,985;6,066;5,427;5,349;5,427;5,663;5,584;5,427;5,349;5,349;5,272;5,272;5,427;5,349;7,352;21,82;6,314;6,149;6,066;7,174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58480500;1;01/08/2019;;1;1;11,871;5,985;6,385;23;15;3;3;3;;0;6,149;6,231;6,231;6,231;6,482;6,482;6,482;6,314;6,398;6,314;6,149;6,149;6,066;6,066;5,985;6,066;5,985;6,066;6,066;5,985;6,231;6,314;11,871;6,398;6,398;6,231;6,231;6,149;6,066;6,066;6,066;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;
58480500;1;01/07/2019;;1;1;7,622;6,066;6,562;5;29;1;1;1;;0;6,738;6,911;6,824;6,652;7,622;6,824;6,482;6,314;6,482;6,911;6,824;6,314;6,398;6,567;6,398;6,567;6,567;6,567;6,482;6,314;6,567;6,652;6,398;6,652;6,567;6,567;6,398;6,149;6,066;6,231;6,398;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/06/2019;;1;1;12,32;6,911;7,646;3;29;1;1;1;;0;7,442;7,442;12,32;9,439;8,177;7,805;7,805;7,532;7,442;7,442;7,532;7,897;7,622;7,622;7,263;7,622;7,174;7,263;7,263;7,352;7,263;7,263;7,086;7,622;7,263;7,263;7,174;7,174;6,911;6,911;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58480500;1;01/05/2019;;1;1;13,24;6,567;7,807;18;6;1;1;1;;0;7,263;7,442;7,442;7,352;6,738;6,567;6,738;11,871;7,99;7,442;6,998;6,824;7,263;6,998;6,911;6,998;8,366;13,24;9,439;8,366;7,805;7,174;7,263;8,177;7,622;7,174;7,714;7,805;7,805;7,622;7,622;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/04/2019;;1;1;31,084;6,998;10,672;8;14;1;1;1;;0;8,366;8,461;10,256;8,652;9,64;13,007;12,433;31,084;10,782;10,782;9,64;8,461;7,805;6,998;22,114;12,433;11,321;10,465;8,944;7,897;7,805;7,805;11,212;13,712;11,76;7,086;7,99;7,805;7,805;7,622;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;
58480500;1;01/03/2019;;1;1;48,332;8,749;18,934;16;31;1;1;1;;0;30,569;21,82;21,091;17,619;13,24;12,662;13,831;12,662;12,095;11,54;10,996;10,996;10,996;13,24;15,673;48,332;47,225;40,814;34,622;31,084;24,846;22,559;17,619;15,673;14,433;14,191;8,944;8,944;9,946;9,946;8,749;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58480500;1;01/02/2019;;1;1;60,758;10,782;18,642;7;4;1;1;1;;0;11,104;11,104;10,996;10,782;10,782;14,433;60,758;29,381;17,221;13,475;13,007;12,433;12,892;12,095;10,996;15,047;18,974;13,24;21,091;17,619;40,458;31,43;18,291;16,959;13,24;13,712;14,555;35,901;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
