Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58060000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58060000;1;01/02/2022;;1;1;37,793;8,797;15,182;7;28;1;1;1;;0;30,787;18,772;18,148;15,047;14,766;18,929;37,793;29,393;17,994;16,34;14,906;14,489;13,538;14,077;14,077;11,858;12,236;13,272;11,609;11,12;10,29;9,943;9,491;9,491;9,413;9,336;9,181;8,797;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58060000;1;01/01/2022;;1;1;46,009;7,736;15,241;7;27;1;1;1;;0;7,961;7,811;9,181;8,873;8,644;9,413;46,009;34,947;21,878;16,487;14,766;21,54;36,685;18,615;14,766;14,489;12,749;11,242;10,76;10,406;9,829;9,413;9,104;8,873;8,415;8,112;7,736;14,214;22,219;20,541;16,783;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/12/2021;;1;1;21,204;4,252;8,531;8;2;1;1;1;;0;4,319;4,252;4,999;5,698;4,862;5,627;16,932;21,204;9,829;7,29;6,125;5,769;8,491;8,263;6,412;6,053;12,879;20,872;12,62;8,873;7,587;6,053;7,961;7,886;8,873;7,216;6,849;6,557;7,587;7,961;8,567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/11/2021;;1;1;9,829;4,118;5,583;3;30;1;1;1;;0;8,567;9,181;9,829;7,142;6,053;5,769;5,416;4,931;4,725;4,657;4,999;6,63;5,982;5,277;5,069;4,657;4,386;4,252;4,862;6,776;8,037;5,346;4,793;4,521;4,386;4,319;4,252;4,319;4,252;4,118;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/10/2021;;1;1;9,716;3,018;5,654;19;1;1;1;1;;0;3,018;3,271;4,319;4,862;4,589;4,319;4,118;4,931;4,521;5,069;6,268;5,207;4,657;4,657;4,252;3,723;7,438;6,268;9,716;9,104;7,364;5,911;5,346;4,931;6,053;5,911;5,416;7,513;7,438;7,513;7,587;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/09/2021;;1;1;7,069;3,018;3,716;1;30;1;1;1;;0;7,069;6,485;5,346;4,118;3,854;3,592;3,463;3,399;3,335;3,723;3,854;3,592;3,335;3,207;3,207;3,463;3,463;3,335;3,399;3,335;3,335;3,463;3,463;3,335;3,207;3,399;3,271;3,207;3,207;3,018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58060000;1;01/08/2021;;1;1;7,438;3,207;3,965;31;26;1;1;1;;0;3,592;3,592;3,788;3,788;3,723;3,592;3,592;3,592;3,592;3,592;3,592;3,592;4,657;6,053;4,185;4,052;3,854;3,723;4,931;3,463;3,463;3,463;3,463;3,335;3,271;3,207;3,207;3,657;4,386;5,486;7,438;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/07/2021;;1;1;7,216;3,463;4,189;5;22;1;1;1;;0;3,986;3,986;3,986;4,386;7,216;5,627;4,725;4,386;4,252;4,185;4,118;3,986;3,986;3,986;3,986;3,986;3,986;3,854;3,723;3,592;3,528;3,463;3,463;3,463;3,463;3,463;3,463;4,118;5,557;5,207;4,725;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/06/2021;;1;1;5,557;4,118;4,572;8;29;1;1;1;0;0;4,793;4,793;4,657;4,657;4,657;4,521;4,521;5,557;4,862;4,657;4,725;4,657;4,657;4,657;4,521;4,521;4,657;4,589;4,521;4,386;4,386;4,386;4,657;4,657;4,521;4,319;4,252;4,185;4,118;4,118;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/05/2021;;1;1;8,037;4,657;5,421;13;29;1;1;1;;0;5,627;5,557;5,416;5,416;5,277;5,069;5,277;5,627;5,557;5,486;5,486;5,486;8,037;6,922;6,125;5,911;5,769;5,486;5,277;5,207;5,138;5,069;5,069;5,069;4,999;4,862;4,793;4,725;4,657;4,657;4,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
