Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02244039


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2244039;1;01/08/2022;1;12,5;54,0;10;17;1;1;1;;0;0,0;0,0;0,0;0,1;0,1;0,0;0,3;2,6;6,8;12,5;1,8;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,8;4,6;3,2;0,1;0,0;0,0;0,1;0,0;0,3;2,4;8,6;2,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/07/2022;1;4,6;19,4;21;10;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,1;1,2;0,1;0,0;0,3;3,2;4,6;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;4,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/06/2022;1;10,6;51,5;11;20;1;1;1;;0;0,0;0,0;0,0;0,0;0,2;2,8;3,6;5,2;4,2;6,8;10,6;3,6;1,2;0,1;0,0;0,0;0,0;0,6;0,2;0,0;0,0;0,0;0,1;0,1;0,3;3,6;7,8;0,3;0,1;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244039;1;01/05/2022;1;10,2;34,7;16;12;1;1;1;;0;2,3;0,0;0,0;0,0;7,6;0,1;0,3;0,2;8,2;0,0;0,0;0,0;0,0;0,0;0,6;10,2;2,4;0,6;2,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/04/2022;1;68,9;213,8;3;20;1;1;1;;0;6,8;7,8;68,9;18,6;0,2;0,1;7,6;3,1;0,1;0,1;0,1;0,1;0,6;28,2;8,6;0,3;0,1;0,0;0,0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;62,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244039;1;01/03/2022;1;40,2;176,0;20;25;1;1;1;;0;6,2;0,3;0,0;0,0;0,0;5,4;0,2;0,0;0,1;0,2;0,6;8,6;11,9;5,2;3,1;4,7;9,8;12,9;20,5;40,2;30,8;6,3;0,2;0,1;0,0;0,0;0,1;8,2;0,2;0,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/02/2022;1;52,8;600,3;13;28;1;1;1;;0;30,6;47,4;40,8;41,2;20,5;50,5;30,6;28,6;36,8;19,6;12,3;16,5;52,8;0,1;0,1;16,6;8,6;4,4;8,6;6,4;14,6;28,4;24,2;16,2;40,8;0,2;0,6;2,3;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2244039;1;01/01/2022;1;63,5;902,4;15;31;1;1;1;;0;19,6;34,8;16,9;15,6;30,6;28,8;32,9;22,8;26,7;38,6;19,6;33,1;48,9;19,6;63,5;12,8;8,9;42,1;39,8;52,8;18,6;40,4;30,5;25,7;36,9;20,4;4,3;28,6;48,9;19,6;20,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/12/2021;1;50,8;522,4;8;31;1;1;1;;0;19,2;8,6;7,8;29,2;30,6;8,2;19,0;50,8;30,6;0,6;0,1;1,7;40,2;39,6;17,7;1,6;15,6;50,8;29,6;0,6;2,1;0,1;16,1;4,6;3,8;2,1;19,8;3,8;10,5;30,8;26,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/11/2021;1;159,1;395,4;2;25;1;1;1;;0;78,6;159,1;5,3;1,1;0,1;0,1;0,1;0,2;3,2;3,8;8,8;24,7;3,7;0,1;0,1;0,0;0,0;0,1;21,7;6,8;3,1;0,1;0,1;0,0;30,6;29,2;8,6;0,0;0,0;6,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244039;1;01/10/2021;1;119,1;517,3;28;31;1;1;1;;0;0,1;0,2;2,6;31,4;3,6;4,2;13,9;15,3;7,6;18,1;15,8;0,3;0,2;0,1;0,2;28,0;12,1;13,8;29,6;60,8;4,1;3,2;2,1;1,1;3,8;42,6;2,3;119,1;19,6;37,9;23,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/09/2021;1;48,7;84,3;1;23;1;1;1;;0;48,7;0,3;0,1;0,0;0,0;0,0;0,0;0,0;0,2;2,8;8,6;4,6;3,9;0,1;0,5;10,1;0,1;0,1;0,0;0,0;0,1;2,1;1,2;0,1;0,1;0,1;0,1;0,2;0,1;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244039;1;01/08/2021;1;28,6;99,8;31;15;1;1;1;;0;0,0;0,0;3,8;12,4;3,2;0,0;0,0;0,0;0,0;0,0;0,1;0,2;6,8;11,5;0,3;0,1;22,9;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;0,3;0,2;28,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/07/2021;1;0,6;0,9;28;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,3;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244039;1;01/06/2021;1;2,5;7,6;14;11;1;1;1;;0;0,3;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;0,0;0,1;1,7;0,0;0,0;0,0;0,3;0,1;2,2;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
