Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243008


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243008;1;01/08/2022;1;2,4;5,2;10;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;1,9;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/07/2022;1;3,6;4,6;30;6;1;1;1;;0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;3,6;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/06/2022;1;1,1;1,2;26;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243008;1;01/05/2022;1;18,7;21,2;5;4;1;1;1;;0;0,0;0,0;0,0;0,0;18,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/04/2022;1;27,8;82,3;1;10;1;1;1;;0;27,8;0,3;1,3;0,2;0,0;0,5;0,0;0,0;24,5;20,4;0,0;0,0;1,3;0,6;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243008;1;01/03/2022;1;8,1;26,6;13;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,6;8,1;0,0;0,0;0,6;0,0;0,0;0,0;0,0;4,4;2,2;0,0;0,0;0,0;0,0;2,9;5,4;1,6;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/02/2022;1;45,2;240,7;14;20;1;1;1;;0;1,5;32,1;2,5;4,7;4,6;6,5;8,2;33,0;16,5;11,1;2,1;0,0;16,9;45,2;9,4;0,2;0,0;7,6;7,7;5,7;1,5;0,0;23,7;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2243008;1;01/01/2022;1;45,4;304,4;29;18;1;1;1;;0;7,9;3,6;19,2;2,1;0,0;15,9;43,0;14,1;8,7;29,2;29,6;10,3;3,1;1,5;0,0;17,8;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,4;28,1;24,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/12/2021;1;46,7;328,3;13;20;1;1;1;;0;19,4;1,4;0,8;8,6;0,0;27,8;14,2;2,3;1,5;0,0;0,0;10,0;46,7;25,2;0,5;14,8;21,8;4,8;0,0;0,0;0,0;0,0;29,3;0,0;0,0;0,0;0,0;34,8;36,5;2,5;25,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243008;1;01/11/2021;1;40,0;181,5;1;13;1;1;1;;0;40,0;33,6;0,0;0,0;0,0;0,0;0,0;0,0;6,6;6,5;2,7;15,8;1,2;2,6;0,0;0,0;0,0;0,0;12,8;36,3;0,0;0,0;0,0;0,0;0,0;0,0;6,0;15,5;1,9;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
