Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02244033


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2244033;1;01/04/2022;1;47,1;112,4;1;8;1;1;1;;0;47,1;0,0;8,1;0,0;0,0;6,9;0,0;0,0;27,5;1,4;0,0;0,0;0,7;0,0;19,2;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/03/2022;1;46,9;200,6;16;13;1;1;1;;0;9,3;0,0;0,0;0,0;21,2;0,0;0,0;0,0;0,0;0,0;0,0;35,8;1,2;26,5;13,5;46,9;0,0;0,0;0,0;0,0;17,3;2,9;0,0;0,0;0,0;2,9;7,1;15,1;0,0;0,0;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/02/2022;1;47,4;271,7;2;22;1;1;1;;0;0,0;47,4;13,4;7,3;13,5;11,5;13,3;32,4;8,8;11,2;2,1;0,3;1,9;3,4;16,7;0,9;0,0;47,2;5,8;0,9;0,3;18,7;13,4;1,3;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2244033;1;01/01/2022;1;39,8;310,3;17;20;1;1;1;;0;9,1;8,9;35,1;19,5;0,0;24,3;12,5;16,7;26,4;8,2;24,3;0,8;13,1;0,0;0,0;7,7;39,8;0,9;0,0;0,5;10,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,7;16,1;31,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/12/2021;1;46,1;226,4;17;22;1;1;1;;0;1,3;0,8;3,1;0,0;11,3;2,2;2,7;8,7;2,3;0,0;0,0;0,0;0,0;5,1;33,1;8,0;46,1;6,5;3,4;0,0;0,0;1,4;7,9;1,5;0,0;0,0;0,3;16,5;0,3;45,8;18,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/11/2021;1;43,9;90,2;20;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,3;0,7;0,4;7,6;0,0;0,0;0,0;0,0;0,0;0,0;18,5;43,9;0,0;0,0;0,0;0,0;0,0;0,0;8,9;0,8;0,0;1,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/10/2021;1;29,7;149,6;20;19;1;1;1;;0;0,0;2,4;2,3;12,5;23,3;0,0;0,0;2,2;0,0;1,2;15,0;29,0;1,5;0,7;0,0;4,4;3,4;0,0;8,3;29,7;0,0;0,0;0,0;0,0;7,1;1,7;0,0;0,0;0,9;1,4;2,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/09/2021;1;22,7;48,4;26;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,7;21,6;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;22,7;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/08/2021;1;48,6;54,4;17;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;48,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/07/2021;1;4,8;4,8;29;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,8;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/06/2021;1;11,2;22,5;7;4;1;1;1;;0;8,7;0,0;0,0;0,0;0,0;0,0;11,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/05/2021;1;20,4;47,3;31;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;11,5;5,4;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/04/2021;1;6,1;15,4;28;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,1;0,0;0,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/03/2021;1;29,8;113,0;11;14;1;1;1;;0;0,0;0,0;0,0;0,0;0,8;2,3;2,7;0,0;11,3;8,1;29,8;12,5;1,1;0,0;0,0;0,0;11,9;3,1;7,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,5;0,0;10,8;6,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/02/2021;1;44,7;352,1;11;18;1;1;1;;0;29,7;0,0;0,9;0,0;29,7;38,9;15,6;2,5;3,1;3,3;44,7;10,5;36,3;29,2;0,0;0,0;0,0;0,0;2,3;1,5;11,9;43,1;0,0;0,0;0,0;0,0;38,2;10,7;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2244033;1;01/01/2021;1;48,7;144,4;3;11;1;1;1;;0;0,0;1,7;48,7;16,8;0,7;2,5;9,8;5,4;3,3;7,1;25,9;22,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/12/2020;1;46,3;472,1;27;26;1;1;1;;0;12,8;11,9;1,8;1,5;0,0;1,1;26,9;31,4;26,8;21,7;0,0;22,1;19,8;0,0;2,9;4,6;43,5;5,6;39,1;16,8;0,0;24,5;25,8;22,5;12,8;19,7;46,3;10,6;0,7;18,9;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/11/2020;1;42,5;201,5;19;16;1;1;1;;0;0,7;0,0;0,0;16,5;0,0;1,3;0,0;0,0;13,3;3,9;1,5;36,6;23,5;9,3;0,0;1,1;9,3;0,7;42,5;12,3;0,5;0,0;28,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/10/2020;1;20,4;80,1;26;14;1;1;1;;0;0,0;0,0;0,0;2,6;0,0;0,0;14,1;1,1;0,0;0,4;0,5;1,5;0,6;9,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;0,2;3,8;20,4;0,0;0,0;0,0;10,8;11,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/09/2020;1;32,9;64,9;22;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,7;32,9;15,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/08/2020;1;12,3;16,5;21;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,3;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/07/2020;1;6,5;7,6;30;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/06/2020;1;12,3;27,6;8;4;1;1;1;;0;0,0;9,7;0,0;0,0;0,0;0,0;0,0;12,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/05/2020;1;8,7;13,1;15;3;1;1;1;;0;0,0;0,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,7;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/04/2020;1;23,5;27,2;1;3;1;1;1;;0;23,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/03/2020;1;31,2;151,5;1;11;1;1;1;;0;31,2;12,1;6,7;17,5;0,0;0,0;0,0;0,0;7,8;0,0;0,0;0,0;0,0;0,0;0,0;17,6;0,0;0,0;3,3;16,1;0,0;7,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,9;19,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/02/2020;1;48,8;382,4;4;24;1;1;1;;0;0,0;10,5;18,6;48,8;39,2;27,8;9,2;5,8;0,0;0,0;32,1;9,5;0,0;1,4;7,5;4,4;13,5;27,4;0,0;30,9;7,4;1,4;17,8;2,5;6,7;18,6;11,6;14,6;15,2;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2244033;1;01/01/2020;1;34,1;184,2;24;13;1;1;1;;0;0,0;0,0;0,0;4,9;26,6;23,9;0,0;2,5;22,3;2,6;2,5;0,0;8,2;0,0;0,0;0,0;31,2;14,2;0,0;0,0;0,9;0,0;0,0;34,1;10,3;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/12/2019;1;48,5;215,3;20;14;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;7,2;4,8;0,0;0,0;1,4;42,8;18,6;5,2;0,0;0,0;0,0;0,0;0,0;6,5;48,5;29,1;2,5;15,5;26,5;3,6;0,0;3,1;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/11/2019;1;36,6;117,3;29;10;1;1;1;;0;1,9;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;3,1;8,3;0,0;19,5;21,5;0,0;0,0;7,0;0,0;0,0;0,0;8,0;10,5;0,0;0,0;0,0;0,0;36,6;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/10/2019;1;34,5;125,1;29;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;8,4;27,1;8,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;1,8;0,0;0,0;0,0;4,2;0,0;0,0;34,5;23,8;14,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/09/2019;1;16,9;44,8;27;7;1;1;1;;0;0,0;10,9;0,9;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;5,1;8,7;16,9;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/08/2019;1;10,2;17,3;24;4;1;1;1;;0;0,0;0,0;0,0;1,3;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/07/2019;1;10,7;15,5;6;3;1;1;1;;0;0,0;0,0;0,0;0,0;1,9;10,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/06/2019;1;11,6;23,7;4;3;1;1;1;;0;0,0;0,0;0,0;11,6;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/05/2019;1;14,7;29,7;8;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;14,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/04/2019;1;38,9;136,1;8;11;1;1;1;;0;0,0;0,0;5,7;0,0;0,0;10,2;12,9;38,9;6,8;3,4;0,0;0,0;12,9;0,0;11,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,9;18,5;0,0;0,0;0,0;0,0;8,7;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/03/2019;1;24,9;154,0;2;18;1;1;1;;0;20,4;24,9;0,0;10,1;6,3;0,0;1,2;0,0;0,0;0,0;5,9;10,2;10,3;1,1;9,5;3,1;0,3;15,8;0,0;2,1;1,1;12,9;0,9;0,0;0,0;0,0;0,0;0,0;17,9;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/02/2019;1;62,8;199,7;28;14;1;1;1;;0;0,0;0,0;0,0;4,6;9,2;0,0;25,9;16,8;0,0;0,0;0,0;1,7;26,7;0,0;0,0;10,2;0,0;0,0;17,1;0,0;8,6;2,7;4,2;0,0;0,0;5,9;3,3;62,8;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2244033;1;01/01/2019;1;26,4;107,0;16;14;1;1;1;;0;7,9;0,8;11,6;1,7;21,1;0,0;1,1;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;26,4;0,2;2,1;2,5;0,0;0,0;0,0;0,0;0,0;0,0;25,7;0,2;0,0;0,0;4,9;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/12/2018;1;36,9;212,0;25;15;1;1;1;;0;29,5;3,9;1,4;0,0;21,1;0,0;7,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,9;1,9;0,0;0,0;0,0;0,0;0,0;0,0;3,1;25,1;36,9;0,0;9,8;0,3;16,9;20,2;5,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/11/2018;1;36,3;142,7;20;12;1;1;1;;0;0,0;0,0;0,0;2,6;5,4;0,0;0,0;31,4;13,5;1,8;0,0;0,0;0,0;0,0;16,5;5,3;0,0;0,0;10,3;36,3;7,2;9,1;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/10/2018;1;18,6;102,5;11;17;1;1;1;;0;2,9;0,3;0,0;13,4;0,6;0,0;6,9;0,4;8,9;0,0;18,6;0,5;0,0;5,7;0,0;0,0;0,0;0,0;7,6;1,4;0,0;0,0;0,0;0,0;17,6;3,9;6,9;5,8;0,0;1,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/09/2018;1;35,1;89,3;15;8;1;1;1;;0;0,0;0,0;13,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,1;5,9;0,0;7,6;0,7;6,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,6;8,7;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/08/2018;1;32,6;56,6;4;4;1;1;1;;0;10,2;0,0;5,4;32,6;0,0;0,0;8,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/07/2018;1;6,1;6,1;11;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2244033;1;01/06/2018;1;3,9;6,1;15;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2244033;1;01/05/2018;1;2,9;3,5;17;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
