Data;Vazões
01/01/15;3,328
02/01/15;3,132
03/01/15;5,521
04/01/15;3,808
05/01/15;4,096
06/01/15;5,954
07/01/15;8,781
08/01/15;5,269
09/01/15;3,951
10/01/15;3,808
11/01/15;3,328
12/01/15;3,262
13/01/15;3,132
14/01/15;3,005
15/01/15;3,005
16/01/15;2,759
17/01/15;2,759
18/01/15;2,639
19/01/15;2,58
20/01/15;2,522
21/01/15;2,522
22/01/15;2,759
23/01/15;3,668
24/01/15;2,639
25/01/15;2,759
26/01/15;2,522
27/01/15;2,881
28/01/15;2,759
29/01/15;2,759
30/01/15;2,58
31/01/15;2,58
01/02/15;3,462
02/02/15;4,471
03/02/15;3,951
04/02/15;3,328
05/02/15;3,328
06/02/15;4,782
07/02/15;8,781
08/02/15;6,868
09/02/15;4,704
10/02/15;4,319
11/02/15;4,244
12/02/15;5,104
13/02/15;16,921
14/02/15;9,768
15/02/15;12,022
16/02/15;12,781
17/02/15;6,868
18/02/15;7,546
19/02/15;5,779
20/02/15;5,023
21/02/15;4,471
22/02/15;4,17
23/02/15;3,951
24/02/15;4,244
25/02/15;5,104
26/02/15;5,954
27/02/15;4,548
28/02/15;4,471
01/03/15;29,275
02/03/15;8,781
03/03/15;6,221
04/03/15;5,437
05/03/15;4,942
06/03/15;4,782
07/03/15;9,656
08/03/15;8,889
09/03/15;18,427
10/03/15;17,068
11/03/15;8,781
12/03/15;9,434
13/03/15;7,646
14/03/15;7,447
15/03/15;6,868
16/03/15;6,963
17/03/15;7,746
18/03/15;7,447
19/03/15;7,746
20/03/15;6,963
21/03/15;6,68
22/03/15;10,926
23/03/15;9,995
24/03/15;8,05
25/03/15;7,447
26/03/15;6,68
27/03/15;6,221
28/03/15;6,043
29/03/15;5,954
30/03/15;8,152
31/03/15;7,349
01/04/15;5,954
02/04/15;5,692
03/04/15;5,521
04/04/15;5,269
05/04/15;5,186
06/04/15;5,186
07/04/15;6,132
08/04/15;6,495
09/04/15;5,437
10/04/15;5,186
11/04/15;5,023
12/04/15;4,862
13/04/15;4,862
14/04/15;4,704
15/04/15;4,862
16/04/15;14,642
17/04/15;6,963
18/04/15;6,132
19/04/15;5,779
20/04/15;5,437
21/04/15;5,186
22/04/15;8,255
23/04/15;14,233
24/04/15;8,05
25/04/15;6,68
26/04/15;6,587
27/04/15;6,221
28/04/15;5,779
