Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58235100


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58235100;1;01/04/2022;;1;1;149,698;84,688;114,852;3;29;1;1;1;;0;138,497;129,6;149,698;136,499;123,803;119,055;111,618;111,618;135,505;135,505;132,539;124,761;116,244;147,635;148,665;135,505;119,055;113,459;99,956;99,08;99,08;95,611;97,339;92,192;91,346;89,662;87,991;87,16;84,688;92,192;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/03/2022;;1;1;212,115;101,716;136,892;16;12;1;1;1;0;0;120,945;116,244;120,945;139,501;120,945;124,761;130,576;113,459;109,79;108,88;105,273;101,716;105,273;140,507;178,683;212,115;158,067;173,158;157,011;187,671;197,997;170,968;150,734;124,761;113,459;111,618;115,312;134,513;141,517;129,6;127,655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/02/2022;;1;1;469,818;112,537;287,99;8;28;1;1;1;;0;311,927;374,666;452,767;391,757;401,888;396,085;396,085;469,818;446,638;422,503;380,324;276,475;267,231;415,086;234,033;288,548;241,533;212,115;232,792;222,964;174,257;178,683;164,466;162,321;154,907;150,734;130,576;112,537;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58235100;1;01/01/2022;;1;1;381,745;118,115;239,841;1;28;1;1;1;;0;381,745;237,771;207,365;232,792;276,475;212,115;304,973;328,875;331,736;337,487;307,747;299,457;310,531;291,26;314,726;334,606;279,14;214,507;188,807;180,913;158,067;153,859;142,529;135,505;141,517;121,895;122,847;118,115;202,659;275,146;289,903;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/12/2021;;1;1;384,594;96,468;158,908;18;5;1;1;1;;0;106,163;104,372;107,967;107,967;96,468;118,108;127,647;142,52;225,39;151,764;117,17;111,611;132,53;128,618;215,693;154,897;213,296;384,594;296,696;220,52;160,178;132,53;143,535;158,057;134,505;112,53;99,949;145,575;172,051;189,934;213,296;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/11/2021;;1;1;275,129;82,24;121,972;2;18;1;1;1;;0;251,669;275,129;212,102;175,348;122,84;106,163;83,865;89,656;91,34;88,819;85,504;88,819;87,155;92,187;85,504;87,986;84,683;82,24;114,377;194,518;182,021;168,778;126,68;112,53;107,967;96,468;91,34;89,656;83,865;99,949;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/10/2021;;1;1;317,535;125,723;178,533;28;24;2;2;2;0;0;149,698;141,517;148,665;167,704;182,033;179,797;179,797;182,033;163,392;159,126;174,257;183,155;169,877;158,067;158,067;143,544;187,671;196,839;202,659;287,196;239,023;197,997;146,608;125,723;126,688;142,529;133,524;317,535;212,115;194,53;183,155;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
58235100;1;01/09/2021;;1;1;167,704;142,529;157,769;3;30;1;1;1;0;0;164,466;166,622;167,704;164,466;161,253;159,126;157,011;162,321;162,321;159,126;161,253;164,466;166,622;159,126;159,126;155,958;160,189;161,253;159,126;160,189;157,011;155,958;149,698;150,734;149,698;150,734;149,698;147,635;147,635;142,529;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/08/2021;;1;1;193,38;135,505;175,721;17;2;1;1;1;0;0;145,584;135,505;159,126;185,407;179,797;177,573;179,797;176,465;177,573;178,683;182,033;172,061;172,061;183,155;177,573;175,36;193,38;183,155;182,033;180,913;177,573;182,033;178,683;175,36;179,797;175,36;169,877;173,158;178,683;180,913;178,683;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/07/2021;;1;1;215,707;182,033;194,314;29;4;1;1;1;0;0;195,683;196,839;186,538;182,033;194,53;182,033;193,38;199,158;187,671;182,033;186,538;200,322;200,322;208,548;194,53;199,158;192,232;192,232;185,407;192,232;196,839;191,088;185,407;185,407;189,946;192,232;192,232;196,839;215,707;214,507;212,115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/06/2021;;1;1;173,158;155,958;162,814;30;14;1;1;1;0;0;160,189;165,542;169,877;168,789;169,877;165,542;165,542;165,542;168,789;170,968;165,542;161,253;163,392;155,958;158,067;158,067;155,958;158,067;158,067;159,126;159,126;161,253;164,466;158,067;158,067;157,011;162,321;160,189;166,622;173,158;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/05/2021;;1;1;245,32;72,767;139,794;31;8;1;1;1;0;0;92,192;90,502;83,056;81,437;77,447;75,092;77,447;72,767;81,437;123,803;177,573;157,011;163,392;165,542;159,126;148,665;152,815;150,734;151,773;137,497;136,499;148,665;122,847;136,499;136,499;175,36;183,155;201,489;205,007;222,964;245,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/04/2021;;1;1;114,384;67,459;84,215;1;10;1;1;1;0;0;114,384;90,502;81,437;72,767;75,092;69,714;82,245;97,339;87,991;67,459;82,245;75,092;99,956;79,033;79,033;79,033;85,509;94,752;78,238;90,502;99,956;96,474;82,245;72,767;72,767;71,999;84,688;82,245;90,502;90,502;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/03/2021;;1;1;276,475;92,192;170,818;1;28;1;1;1;0;0;276,475;206,184;172,061;157,011;152,815;153,859;232,792;254,249;214,507;230,319;194,53;176,465;193,38;245,32;206,184;183,155;246,588;194,53;155,958;166,622;161,253;163,392;132,539;112,537;107,071;105,273;96,474;92,192;95,611;104,379;111,618;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/02/2021;;1;1;393,197;117,178;252,766;16;1;1;1;1;0;0;117,178;132,539;161,253;185,407;158,067;241,533;328,875;328,875;287,196;230,319;218,115;241,533;277,806;374,666;387,452;393,197;362,076;275,146;271,177;287,196;268,543;262,007;208,548;169,877;189,946;187,671;244,055;287,196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
58235100;1;01/01/2021;;1;1;540,89;107,974;289,467;12;31;1;1;1;0;0;222,964;260,707;309,138;309,138;237,771;224,183;220,534;337,487;448,166;403,345;535,899;540,89;443,587;532,583;491,936;499,948;391,757;318,944;260,707;256,824;230,319;195,683;167,704;154,907;159,126;157,011;136,499;145,584;143,544;128,626;107,974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/12/2020;;1;1;468,256;87,991;271,788;8;1;1;1;1;0;0;87,991;102,6;100,834;99,08;104,379;122,847;273,821;468,256;309,138;309,138;244,055;222,964;328,875;337,487;276,475;254,249;252,966;272,497;345,596;326,025;309,138;390,32;436,003;360,689;260,707;303,59;345,596;316,129;296,714;309,138;258,116;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/11/2020;;1;1;476,09;77,447;175,023;20;30;1;1;1;0;0;128,626;119,055;107,974;101,716;95,611;94,752;95,611;101,716;106,17;111,618;129,6;183,155;186,538;182,033;196,839;205,007;172,061;218,115;404,804;476,09;474,519;234,033;269,859;264,613;117,178;111,618;111,618;89,662;83,056;77,447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58235100;1;01/10/2020;;1;1;165,542;82,245;136,718;12;29;1;1;1;0;0;146,608;146,608;142,529;143,544;136,499;149,698;139,501;157,011;149,698;150,734;154,907;165,542;155,958;145,584;150,734;150,734;155,958;147,635;146,608;145,584;146,608;151,773;136,499;118,115;103,488;106,17;99,956;87,991;82,245;92,192;131,556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/09/2020;;1;1;192,232;140,507;154,211;22;1;1;1;1;0;0;140,507;150,734;152,815;152,815;152,815;157,011;149,698;148,665;152,815;150,734;154,907;152,815;150,734;145,584;148,665;144,563;145,584;145,584;145,584;144,563;148,665;192,232;185,407;176,465;174,257;158,067;155,958;151,773;148,665;147,635;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/08/2020;;1;1;197,997;150,734;164,044;22;11;1;1;1;0;0;172,061;164,466;161,253;161,253;155,958;157,011;159,126;154,907;154,907;152,815;150,734;150,734;154,907;157,011;158,067;155,958;155,958;152,815;160,189;169,877;176,465;197,997;194,53;179,797;183,155;172,061;165,542;167,704;165,542;165,542;157,011;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/07/2020;;1;1;188,807;151,773;170,979;1;25;1;1;1;0;0;188,807;188,807;183,155;180,913;184,279;182,033;176,465;175,36;177,573;172,061;173,158;176,465;180,913;172,061;177,573;176,465;172,061;157,011;164,466;163,392;164,466;164,466;165,542;161,253;151,773;154,907;159,126;163,392;169,877;159,126;163,392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/06/2020;;1;1;194,53;86,333;160,783;30;1;1;1;1;0;0;86,333;104,379;109,79;109,79;111,618;122,847;120,945;143,544;175,36;174,257;178,683;185,407;185,407;180,913;176,465;167,704;180,913;173,158;174,257;176,465;177,573;183,155;169,877;176,465;170,968;172,061;174,257;177,573;188,807;194,53;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/05/2020;;1;1;83,87;62,317;72,748;9;29;1;1;1;0;0;75,873;75,873;77,447;77,447;75,873;75,873;80,632;80,632;83,87;77,447;72,767;72,767;69,714;71,999;75,092;77,447;77,447;77,447;71,999;68,207;68,207;65,235;68,207;66,715;73,538;66,715;65,235;65,235;62,317;66,715;71,234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/04/2020;;1;1;205,007;76,658;97,856;1;24;1;1;1;0;0;205,007;138,497;120,945;110,703;108,88;105,273;97,339;100,834;111,618;104,379;100,834;96,474;90,502;88,825;94,752;87,991;85,509;93,895;90,502;87,991;90,502;83,87;89,662;76,658;79,831;81,437;80,632;78,238;77,447;76,658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58235100;1;01/03/2020;;1;1;516,148;106,17;192,461;1;29;1;1;1;0;0;516,148;483,984;364,857;288,548;255,536;222,964;188,807;177,573;215,707;183,155;176,465;158,067;130,576;128,626;130,576;130,576;155,958;159,126;155,958;151,773;159,126;187,671;146,608;130,576;123,803;115,312;111,618;109,79;106,17;199,158;201,489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/02/2020;;1;1;491,936;138,497;290,906;12;1;1;1;1;0;0;138,497;150,734;194,53;272,497;265,921;337,487;330,304;330,304;275,146;203,831;397,532;491,936;419,529;391,757;318,944;239,023;219,323;205,007;215,707;197,997;222,964;260,707;279,14;276,475;220,534;318,944;384,594;457,389;419,529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
58235100;1;01/01/2020;;1;1;398,982;73,538;162,99;14;1;1;1;1;0;0;73,538;81,437;77,447;155,958;166,622;201,489;175,36;188,807;186,538;235,276;230,319;202,659;250,406;398,982;272,497;215,707;169,877;146,608;134,513;126,688;116,244;101,716;102,6;236,522;164,466;128,626;116,244;104,379;97,339;98,208;95,611;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/12/2019;;1;1;298,084;81,437;147,022;1;31;1;1;1;0;0;298,084;277,806;199,158;152,815;130,576;149,698;167,704;128,626;103,488;92,192;94,752;177,573;161,253;187,671;173,158;122,847;103,488;99,956;144,563;163,392;127,655;106,17;138,497;188,807;194,53;157,011;152,815;102,6;92,192;87,16;81,437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58235100;1;01/11/2019;;1;1;184,279;117,178;147,641;24;27;1;1;1;0;0;157,011;147,635;138,497;132,539;128,626;130,576;140,507;142,529;150,734;160,189;162,321;134,513;147,635;164,466;158,067;157,011;159,126;153,859;134,513;141,517;140,507;128,626;150,734;184,279;159,126;128,626;117,178;139,501;162,321;176,465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58235100;1;01/10/2019;;1;1;283,156;136,499;160,098;9;19;1;1;1;0;0;160,189;154,907;155,958;154,907;146,608;160,189;147,635;183,155;283,156;200,322;185,407;168,789;164,466;161,253;160,189;146,608;141,517;139,501;136,499;138,497;149,698;140,507;146,608;144,563;148,665;150,734;159,126;160,189;154,907;163,392;154,907;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/09/2019;;1;1;197,997;134,513;159,871;3;15;1;1;1;0;0;179,797;192,232;197,997;185,407;188,807;184,279;165,542;163,392;166,622;152,815;151,773;143,544;153,859;148,665;134,513;137,497;144,563;138,497;144,563;138,497;139,501;145,584;162,321;157,011;150,734;172,061;177,573;163,392;159,126;155,958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58235100;1;01/08/2019;;1;1;187,671;134,513;172,94;6;1;1;1;1;0;0;134,513;150,734;159,126;179,797;186,538;187,671;184,279;179,797;174,257;179,797;179,797;175,36;165,542;167,704;172,061;172,061;173,158;174,257;172,061;170,968;175,36;177,573;185,407;179,797;179,797;177,573;172,061;165,542;169,877;168,789;169,877;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/07/2019;;1;1;292,62;119,999;173,259;8;31;1;1;1;0;0;169,877;167,704;172,061;172,061;183,155;245,32;277,806;292,62;269,859;188,807;252,966;249,131;213,31;205,007;202,659;180,913;130,576;132,539;132,539;134,513;130,576;129,6;126,688;129,6;126,688;124,761;128,626;125,723;131,556;123,803;119,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/06/2019;;1;1;159,126;78,238;104,619;28;20;1;1;1;0;0;80,632;83,87;97,339;102,6;122,847;117,178;103,488;94,752;93,895;90,502;84,688;83,056;83,87;82,245;83,87;82,245;83,87;82,245;82,245;78,238;88,825;109,79;132,539;138,497;137,497;143,544;152,815;159,126;137,497;124,761;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/05/2019;;1;1;172,061;85,509;105,356;19;12;1;1;1;0;0;98,208;93,042;87,16;86,333;87,991;87,16;88,825;93,042;88,825;89,662;91,346;85,509;98,208;107,071;107,071;108,88;115,312;153,859;172,061;140,507;138,497;134,513;120,945;114,384;107,974;102,6;99,956;93,042;90,502;93,895;89,662;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/04/2019;;1;1;193,38;90,502;124,262;10;23;1;1;1;0;0;104,379;94,752;93,895;98,208;99,956;100,834;123,803;134,513;166,622;193,38;166,622;142,529;135,505;159,126;169,877;142,529;151,773;140,507;123,803;115,312;99,956;95,611;90,502;153,859;124,761;107,974;101,716;93,895;100,834;100,834;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58235100;1;01/03/2019;;1;1;386,022;109,79;218,752;2;30;1;1;1;0;0;231,554;386,022;314,726;344,238;333,17;284,5;232,792;201,489;186,538;216,91;218,115;224,183;196,839;193,38;212,115;202,659;189,946;287,196;302,21;304,973;236,522;218,115;203,831;186,538;151,773;138,497;121,895;114,384;125,723;109,79;110,703;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/02/2019;;1;1;209,735;81,437;140,521;28;2;1;1;1;0;0;86,333;81,437;81,437;83,87;87,991;103,488;195,683;177,573;177,573;148,665;112,537;111,618;137,497;161,253;127,655;119,055;145,584;165,542;189,946;165,542;140,507;135,505;136,499;158,067;149,698;163,392;180,913;209,735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
58235100;1;01/01/2019;;1;1;227,856;93,895;149,833;6;1;1;1;1;0;0;93,895;195,683;141,517;108,88;224,183;227,856;220,534;193,38;152,815;138,497;115,312;123,803;106,17;114,384;116,244;130,576;143,544;158,067;154,907;160,189;175,36;148,665;141,517;140,507;134,513;139,501;182,033;195,683;149,698;112,537;104,379;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58235100;1;01/12/2018;;1;1;353,792;81,437;148,433;2;16;1;1;1;0;0;226,629;353,792;337,487;300,832;230,319;225,404;191,088;143,544;126,688;117,178;107,071;97,339;88,825;83,87;83,056;81,437;94,752;82,245;99,956;121,895;121,895;125,723;98,208;134,513;131,556;136,499;185,407;145,584;112,537;114,384;101,716;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
