data;qmax
01/01/1935;580.22
01/02/1935;700.37
01/03/1935;626.218
01/04/1935;305.381
01/05/1935;193.232
01/06/1935;165.767
01/07/1935;131.886
01/08/1935;133.91
01/09/1935;215.595
01/10/1935;310.542
01/11/1935;220.782
01/12/1935;190.425
01/01/1936;239.337
01/02/1936;482.211
01/03/1936;724.875
01/04/1936;511.327
01/05/1936;226.021
01/06/1936;146.212
01/07/1936;131.15
01/08/1936;192.884
01/09/1936;190.425
01/10/1936;152.872
01/11/1936;161.941
01/12/1936;541.141
01/01/1937;649.12
01/02/1937;697.12
01/03/1937;380.291
01/04/1937;314.856
01/05/1937;394.118
01/06/1937;207.538
01/07/1937;144.827
01/08/1937;132.42
01/09/1937;122.504
01/10/1937;236.312
01/11/1937;360.012
01/12/1937;609.288
01/01/1938;558.36
01/02/1938;466.96
01/03/1938;463.172
01/04/1938;330.636
01/05/1938;225.633
01/06/1938;207.538
01/07/1938;146.949
01/08/1938;207.538
01/09/1938;210.077
01/10/1938;308.652
01/11/1938;356.686
01/12/1938;397.614
01/01/1939;579.31
01/02/1939;824.951
01/03/1939;387.174
01/04/1939;390.638
01/05/1939;228.279
01/06/1939;169.018
01/07/1939;146.949
01/08/1939;142.721
01/09/1939;122.504
01/10/1939;128.407
01/11/1939;187.784
01/12/1939;311.747
01/01/1940;451.898
01/02/1940;753.212
01/03/1940;639.69
01/04/1940;261.243
01/05/1940;173.617
01/06/1940;136.494
01/07/1940;114.85
01/08/1940;100.281
01/09/1940;114.85
01/10/1940;166.742
01/11/1940;233.619
01/12/1940;269.832
01/01/1941;373.469
01/02/1941;284.454
01/03/1941;281.499
01/04/1941;305.574
01/05/1941;132.42
01/06/1941;105.629
01/07/1941;136.494
01/08/1941;90.003
01/09/1941;275.634
01/10/1941;305.574
01/11/1941;316.148
01/12/1941;351.128
01/01/1942;426.127
01/02/1942;440.479
01/03/1942;466.122
01/04/1942;282.868
01/05/1942;279.927
01/06/1942;151.22
01/07/1942;167.045
01/08/1942;121.763
01/09/1942;121.763
01/10/1942;160.174
01/11/1942;216.225
01/12/1942;347.878
01/01/1943;415.507
01/02/1943;488.632
