Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
1935;59.3;94.9;57.3;29.2;16.6;9.18;7.12;5.43;4.8;12.2;14.6;44.2
1936;29.6;42.5;38.2;23.8;10.5;7.66;6.25;4.65;8.03;13.5;28.1;15.1
1937;93;143;32.3;34.2;25.2;9.4;7.48;5.59;4.35;15.1;27;161
1938;42.9;23.1;14.6;32.3;12;10.5;5.11;7.66;4.95;20.2;32.3;37.8
1939;97.4;99.9;19.6;12.2;8.03;4.8;4.95;3.77;6.77;10.5;7.12;11.3
1940;16.8;28.5;34.2;21.8;8.79;5.92;3.91;3.77;11.3;17.1;89.4;44.4
1941;29;18.6;52.5;39.1;11;9.16;22;4.79;11.4;26.4;16.5;79.2
1942;95.1;37.9;26.1;19.2;17.6;7.97;7.59;4.63;5.96;13;31.9;173
1943;158;52.5;81.6;35.2;16;14.1;8.76;10.6;5.28;24.5;28;170
1944;53.4;76.3;29.7;24.2;13.6;8.76;6.66;5.45;5.11;18.6;16;56.3
1945;98;37.8;53.4;39.9;18.9;12;8.98;6.25;5.59;13.3;21.2;59.8
1946;62.9;25.6;28.1;37;14.9;12;6.09;5.27;5.11;7.66;33.8;44.2
1947;30;15.4;48.7;18;7.66;6.09;6.09;8.41;6.6;9.85;23.1;94.9
1948;60.9;17.4;45.6;14.9;11;9.85;4.95;4.2;4.05;10.1;17.7;121
1949;121;139;62.4;53.9;18;16.6;11;7.66;7.12;33.4;43.8;33.8
1950;92.4;41.6;36.6;42;14.1;8.41;6.77;5.43;8.03;7.85;44.2;114
1951;51.1;51.1;46;28.9;16;10.8;8.03;5.75;4.8;6.6;8.41;49.7
1952;130;68.2;73.6;38.2;17.7;14.1;9.4;6.95;13.3;7.66;42;56.8
1953;19.6;50.6;29.2;23.8;14.3;6.6;5.27;5.27;8.03;14.9;27;36.6
1954;41.6;15.7;17.4;30.6;8.18;4.93;4.2;3.52;3.01;4.49;11.9;20
1955;61.1;11.7;10.8;29.9;26.2;9.07;3.79;2.4;1.74;6.65;14;43.5
1956;38.7;7.66;15.1;4.78;5.69;4.93;3.93;3.39;2.4;3.52;48.1;89.1
1957;35.4;19.1;33;44.9;16.6;6.81;4.35;3.79;5.23;7.66;21.2;57
1958;15.8;16.3;11.4;48.8;19.7;9.78;16;5.61;10.8;22.3;61.3;20
1959;35.9;5.61;31.9;15.3;6.48;4.17;2.76;2.5;2.02;10.4;26.4;29
1960;215;53.4;99.6;31.9;15.1;11.9;9.37;6.31;18.1;7.4;17.1;70.2
1961;98.3;89.9;13.8;11.2;9.77;4.05;3.29;3.15;1.99;3.29;5.05;6.54
1962;23.2;44.1;25.1;11;7.4;5.45;6.48;3.58;17.1;9.37;26.4;66.9
1963;18.4;16.7;11.8;12.3;5.28;3.29;5.59;4.39;2.78;3.03;9.06;6.91
1964;22.8;65;27.8;22.7;7.86;5.48;17.5;7.07;4.44;16.3;21.7;48.3
1965;50.6;46.5;58.8;28.2;24.7;15.5;12.4;14.1;19.9;37.8;53.4;44.2
1966;44.2;19.9;14.7;17.8;9.77;7.26;8.68;4.73;3.35;8.27;33;51.1
1967;66.1;58.3;53.4;19.5;13.4;8.27;6.88;5.8;6.5;6.32;42;56.4
1968;158;45.1;77;33.4;13.9;9.11;7.46;6.69;28.2;20.8;16.9;89.3
1969;42;27.8;15.8;14.7;7.86;12.1;11.9;9.33;3.35;16.9;33;80.4
1970;61.4;25.4;17.8;21.7;19.9;6.69;6.32;8.68;20.8;24.4;28.6;43.3
1971;26.1;19.5;27.8;10.4;6.32;9.33;5.33;4.44;12.9;31.5;108;55.4
1972;20.2;30;61.9;23.4;12.1;7.07;28.2;9.11;14.7;16.6;55.9;54.4
1973;42;24;57.8;26.1;18.6;11.4;11.4;9.33;6.32;37.4;22.7;18.1
1974;29.3;19.5;24.7;18.1;9.11;7.66;5.03;4.73;3.61;17.8;12.9;50.1
1975;103;35;23;17.5;12.1;8.27;20.2;4.73;7.86;18.1;94.2;73.6
1976;17.5;14.1;18.1;9.33;8.68;4.16;8.06;7.07;29.3;31.5;81.6;68.2
1977;36.6;27.5;24.4;56.8;10.9;7.66;5.64;4.44;8.47;14.7;122;108
1978;86.3;30;20.5;22.7;33;32.3;9.77;6.32;13.9;18.9;35;97.4
1979;162;298;67.2;38;26.2;20.9;13.6;12.1;10.6;8.6;54.8;52.4
1980;69.3;40.9;26.6;58.1;29.1;11.6;9.71;9.71;7.96;10.2;16.4;47.8
1981;30.2;17.6;24.5;17;8.17;11.6;5.43;10.4;3.53;16.4;97.5;51.1
1982;73.6;37;110;45.6;18.3;12.9;10.4;8.27;6.69;10.7;9.55;30
1983;77;26.1;23.7;31.1;18.9;19.5;14.4;7.86;18.6;42;35;65
1984;34.2;18.6;45.1;28.9;8.27;6.88;5.64;9.77;12.1;35.4;37.8;77.6
1985;265;82.2;74.2;30.8;18.3;12.4;9.99;13.9;20.8;26.8;21.7;40.3
1986;41.2;46.5;24.4;13.1;14.9;7.07;5.03;11.1;3.88;3.48;26.4;40.3
1987;72;22.7;37;36.2;13.9;8.27;5.95;4.73;12.6;15.2;31.1;75.9
1988;51.5;38.2;50.1;34.6;18.1;10.2;6.69;6.32;3.88;11.6;17.5;35.8
1989;27.1;30.4;22.7;15.5;9.55;18.3;16;12.1;5.33;15.2;37.8;87.5
1990;18.1;26.1;14.7;8.68;5.03;4.44;7.86;4.73;4.44;21.7;12.6;15.8
1991;42.9;55.9;162;71.4;18.1;9.55;7.46;6.69;14.4;18.6;45.6;23.4
1992;27.1;21.4;14.4;18.3;12.9;6.32;5.03;7.46;19.9;21.4;84.5;39.1
1993;39.9;11.6;8.47;25.4;11.6;8.27;5.33;3.61;6.5;9.33;8.47;29.9
1994;73.5;8.75;66.6;11.2;15.7;6.97;5.9;4.28;2.87;10.8;8.1;51
1995;14.9;7.52;15.9;6.61;4.91;3.55;2.61;1.46;2.73;6.79;41.7;59
1996;103;22.8;69.3;15.4;9.4;6.54;5.64;3.73;37.4;43.8;91.2;49.2
1997;166;28.1;39.1;17.4;15.4;10.3;6.73;5.81;11.5;25.6;51.1;78.7
1998;72;39.1;20.5;18.6;18;10.3;5.64;14.9;12.7;14.9;33.8;30.4
1999;68.7;20.5;44.2;15.1;7.91;7.91;5.29;4.17;7.11;25.9;33.4;50.6
2000;48.3;35.4;42.5;19.9;12.5;8.32;6.35;15.4;8.11;28.5;28.1;78.1
2001;157;19.6;26.6;11.5;14.3;6.73;4.8;4.32;6.73;10.1;37.4;45.1
2002;40.8;50.6;34.2;14.1;12.2;7.51;7.11;4.8;16.8;14.9;22.5;56.8
2003;181;38.7;22.5;13.8;10.1;6.92;6.35;15.1;14.3;9.85;19.3;21.2
2004;27.4;52;48.3;56.4;13.8;10.8;12.5;7.51;4.64;13.8;19.3;70.9
2005;50.1;65.5;204;64.5;23.1;16.3;12;9.62;21.2;22.8;43.8;101
2006;24.5;19.9;42.9;22.5;11;7.51;5.99;5.29;11.3;34.6;36.2;69.3
2007;164;85.1;31.5;22.5;15.1;10.5;7.71;5.99;4.32;11;25.2;82.8
2008;36.2;48.7;30.4;27.4;16.8;11.7;11;5.64;17.4;6.73;75.3;212
2009;228;79.3;65.5;90.5;20.8;17.1;13.3;12.5;14.1;35;21.5;70.9
2010;73.1;12.5;20.5;20.5;12.5;6.35;4.64;3.87;2.91;20.8;75.3;76.4
2011;81;28.1;125;104;25.9;13.3;9.85;5.99;4.96;27.4;27.7;56.8
2012;114;22.1;33.4;19.3;35;10.5;7.91;7.51;7.31;8.11;28.1;11.5
2013;46;47.4;28.1;25.2;17.4;9.85;5.99;4.32;4.64;7.91;24.9;63.4
2014;22.5;21.5;22.5;33.4;7.91;6.73;6.92;4.64;2.91;13;85.7;27.7
